dataset,minsup,version,n_spmf,n_julia,n_intersect,n_support_match,recall,precision,jaccard,exact_match_rate,n_only_spmf,n_only_julia,n_sup_diff,stress
chess,0.95,a0,73,73,73,73,1.0,1.0,1.0,1.0,0,0,0,false
chess,0.95,a1,73,73,73,73,1.0,1.0,1.0,1.0,0,0,0,false
chess,0.95,a2,73,73,73,73,1.0,1.0,1.0,1.0,0,0,0,false
chess,0.9,a0,498,498,498,498,1.0,1.0,1.0,1.0,0,0,0,false
chess,0.9,a1,498,498,498,498,1.0,1.0,1.0,1.0,0,0,0,false
chess,0.9,a2,498,498,498,498,1.0,1.0,1.0,1.0,0,0,0,false
chess,0.85,a0,1885,1885,1885,1885,1.0,1.0,1.0,1.0,0,0,0,false
chess,0.85,a1,1885,1885,1885,1885,1.0,1.0,1.0,1.0,0,0,0,false
chess,0.85,a2,1885,1885,1885,1885,1.0,1.0,1.0,1.0,0,0,0,false
chess,0.8,a0,5083,5083,5083,5083,1.0,1.0,1.0,1.0,0,0,0,false
chess,0.8,a1,5083,5083,5083,5083,1.0,1.0,1.0,1.0,0,0,0,false
chess,0.8,a2,5083,5083,5083,5083,1.0,1.0,1.0,1.0,0,0,0,false
chess,0.7,a0,23892,23892,23892,23892,1.0,1.0,1.0,1.0,0,0,0,false
chess,0.7,a1,23892,23892,23892,23892,1.0,1.0,1.0,1.0,0,0,0,false
chess,0.7,a2,23892,23892,23892,23892,1.0,1.0,1.0,1.0,0,0,0,false
chess,0.6,a0,98392,98392,98392,98392,1.0,1.0,1.0,1.0,0,0,0,false
chess,0.6,a1,98392,98392,98392,98392,1.0,1.0,1.0,1.0,0,0,0,false
chess,0.6,a2,98392,98392,98392,98392,1.0,1.0,1.0,1.0,0,0,0,false
mushrooms,0.7,a0,12,12,12,12,1.0,1.0,1.0,1.0,0,0,0,false
mushrooms,0.7,a1,12,12,12,12,1.0,1.0,1.0,1.0,0,0,0,false
mushrooms,0.7,a2,12,12,12,12,1.0,1.0,1.0,1.0,0,0,0,false
mushrooms,0.5,a0,45,45,45,45,1.0,1.0,1.0,1.0,0,0,0,false
mushrooms,0.5,a1,45,45,45,45,1.0,1.0,1.0,1.0,0,0,0,false
mushrooms,0.5,a2,45,45,45,45,1.0,1.0,1.0,1.0,0,0,0,false
mushrooms,0.3,a0,425,425,425,425,1.0,1.0,1.0,1.0,0,0,0,false
mushrooms,0.3,a1,425,425,425,425,1.0,1.0,1.0,1.0,0,0,0,false
mushrooms,0.3,a2,425,425,425,425,1.0,1.0,1.0,1.0,0,0,0,false
mushrooms,0.2,a0,1169,1169,1169,1169,1.0,1.0,1.0,1.0,0,0,0,false
mushrooms,0.2,a1,1169,1169,1169,1169,1.0,1.0,1.0,1.0,0,0,0,false
mushrooms,0.2,a2,1169,1169,1169,1169,1.0,1.0,1.0,1.0,0,0,0,false
mushrooms,0.1,a0,4850,4850,4850,4850,1.0,1.0,1.0,1.0,0,0,0,false
mushrooms,0.1,a1,4850,4850,4850,4850,1.0,1.0,1.0,1.0,0,0,0,false
mushrooms,0.1,a2,4850,4850,4850,4850,1.0,1.0,1.0,1.0,0,0,0,false
mushrooms,0.05,a0,12789,12789,12789,12789,1.0,1.0,1.0,1.0,0,0,0,false
mushrooms,0.05,a1,12789,12789,12789,12789,1.0,1.0,1.0,1.0,0,0,0,false
mushrooms,0.05,a2,12789,12789,12789,12789,1.0,1.0,1.0,1.0,0,0,0,false
retail,0.1,a0,9,9,9,9,1.0,1.0,1.0,1.0,0,0,0,false
retail,0.1,a1,9,9,9,9,1.0,1.0,1.0,1.0,0,0,0,false
retail,0.1,a2,9,9,9,9,1.0,1.0,1.0,1.0,0,0,0,false
retail,0.05,a0,16,16,16,16,1.0,1.0,1.0,1.0,0,0,0,false
retail,0.05,a1,16,16,16,16,1.0,1.0,1.0,1.0,0,0,0,false
retail,0.05,a2,16,16,16,16,1.0,1.0,1.0,1.0,0,0,0,false
retail,0.01,a0,159,159,159,159,1.0,1.0,1.0,1.0,0,0,0,false
retail,0.01,a1,159,159,159,159,1.0,1.0,1.0,1.0,0,0,0,false
retail,0.01,a2,159,159,159,159,1.0,1.0,1.0,1.0,0,0,0,false
retail,0.005,a0,580,580,580,580,1.0,1.0,1.0,1.0,0,0,0,false
retail,0.005,a1,580,580,580,580,1.0,1.0,1.0,1.0,0,0,0,false
retail,0.005,a2,580,580,580,580,1.0,1.0,1.0,1.0,0,0,0,false
retail,0.002,a0,2691,2691,2691,2691,1.0,1.0,1.0,1.0,0,0,0,false
retail,0.002,a1,2691,2691,2691,2691,1.0,1.0,1.0,1.0,0,0,0,false
retail,0.002,a2,2691,2691,2691,2691,1.0,1.0,1.0,1.0,0,0,0,false
retail,0.001,a0,7572,7572,7572,7572,1.0,1.0,1.0,1.0,0,0,0,false
retail,0.001,a1,7572,7572,7572,7572,1.0,1.0,1.0,1.0,0,0,0,false
retail,0.001,a2,7572,7572,7572,7572,1.0,1.0,1.0,1.0,0,0,0,false
accidents,0.95,a0,15,15,15,15,1.0,1.0,1.0,1.0,0,0,0,false
accidents,0.95,a1,15,15,15,15,1.0,1.0,1.0,1.0,0,0,0,false
accidents,0.95,a2,15,15,15,15,1.0,1.0,1.0,1.0,0,0,0,false
accidents,0.9,a0,31,31,31,31,1.0,1.0,1.0,1.0,0,0,0,false
accidents,0.9,a1,31,31,31,31,1.0,1.0,1.0,1.0,0,0,0,false
accidents,0.9,a2,31,31,31,31,1.0,1.0,1.0,1.0,0,0,0,false
accidents,0.85,a0,71,71,71,71,1.0,1.0,1.0,1.0,0,0,0,false
accidents,0.85,a1,71,71,71,71,1.0,1.0,1.0,1.0,0,0,0,false
accidents,0.85,a2,71,71,71,71,1.0,1.0,1.0,1.0,0,0,0,false
accidents,0.8,a0,149,149,149,149,1.0,1.0,1.0,1.0,0,0,0,false
accidents,0.8,a1,149,149,149,149,1.0,1.0,1.0,1.0,0,0,0,false
accidents,0.8,a2,149,149,149,149,1.0,1.0,1.0,1.0,0,0,0,false
accidents,0.7,a0,529,529,529,529,1.0,1.0,1.0,1.0,0,0,0,false
accidents,0.7,a1,529,529,529,529,1.0,1.0,1.0,1.0,0,0,0,false
accidents,0.7,a2,529,529,529,529,1.0,1.0,1.0,1.0,0,0,0,false
accidents,0.6,a0,2074,2074,2074,2074,1.0,1.0,1.0,1.0,0,0,0,false
accidents,0.6,a1,2074,2074,2074,2074,1.0,1.0,1.0,1.0,0,0,0,false
accidents,0.6,a2,2074,2074,2074,2074,1.0,1.0,1.0,1.0,0,0,0,false
chess,0.5,a0,369450,369450,369450,369450,1.0,1.0,1.0,1.0,0,0,0,true
mushrooms,0.01,a0,51832,51832,51832,51832,1.0,1.0,1.0,1.0,0,0,0,true
retail,0.0005,a0,19114,19114,19114,19114,1.0,1.0,1.0,1.0,0,0,0,true
accidents,0.5,a0,8057,8057,8057,8057,1.0,1.0,1.0,1.0,0,0,0,true
