dataset,version,time_s,n_closed,memory_mb
chess,a0,0.4739999771118164,1885,1074
chess,a1,0.17499995231628418,1885,1074
chess,a2,0.014999866485595703,1885,1074
mushrooms,a0,0.12800002098083496,425,1074
mushrooms,a1,0.06200003623962402,425,1074
mushrooms,a2,0.00800013542175293,425,1074
retail,a0,0.06399989128112793,159,1074
retail,a1,5.513000011444092,159,1074
retail,a2,3.697999954223633,159,1074
accidents,a0,2.8610000610351562,71,1074
accidents,a1,8.813999891281128,71,1074
accidents,a2,0.44300007820129395,71,1074
