dataset,minsup,version,bytes_alloc,time_s,n_closed
chess,0.95,a0,29932533,0.013000011444091797,73
chess,0.95,a1,11893162,0.009000062942504883,73
chess,0.95,a2,904284,0.0009999275207519531,73
chess,0.9,a0,221679891,0.09799981117248535,498
chess,0.9,a1,55148794,0.0409998893737793,498
chess,0.9,a2,4659178,0.003999948501586914,498
chess,0.85,a0,849727159,0.4049999713897705,1885
chess,0.85,a1,186739793,0.14299988746643066,1885
chess,0.85,a2,16375144,0.015999794006347656,1885
chess,0.8,a0,2479512710,1.371999979019165,5083
chess,0.8,a1,466946409,0.38899993896484375,5083
chess,0.8,a2,41778463,0.03900003433227539,5083
chess,0.7,a0,13091018380,7.669000148773193,23892
chess,0.7,a1,1973928651,1.9229998588562012,23892
chess,0.7,a2,184026653,0.17400002479553223,23892
chess,0.6,a0,56894342659,37.50100016593933,98392
chess,0.6,a1,7016498748,7.9070000648498535,98392
chess,0.6,a2,700651787,0.7949998378753662,98392
mushrooms,0.7,a0,11766176,0.004999876022338867,12
mushrooms,0.7,a1,7030843,0.00599980354309082,12
mushrooms,0.7,a2,876261,0.0009999275207519531,12
mushrooms,0.5,a0,40081808,0.01699995994567871,45
mushrooms,0.5,a1,15476117,0.023000001907348633,45
mushrooms,0.5,a2,2779532,0.0019998550415039062,45
mushrooms,0.3,a0,280907620,0.1269998550415039,425
mushrooms,0.3,a1,81385335,0.06199979782104492,425
mushrooms,0.3,a2,19862490,0.007999897003173828,425
mushrooms,0.2,a0,827786819,0.4509999752044678,1169
mushrooms,0.2,a1,175525105,0.1640000343322754,1169
mushrooms,0.2,a2,49721185,0.01900005340576172,1169
mushrooms,0.1,a0,2453741441,1.2879998683929443,4850
mushrooms,0.1,a1,484373580,0.6610000133514404,4850
mushrooms,0.1,a2,188335487,0.06399989128112793,4850
mushrooms,0.05,a0,4703398114,2.4189999103546143,12789
mushrooms,0.05,a1,874455780,1.8239998817443848,12789
mushrooms,0.05,a2,466012198,0.14800000190734863,12789
retail,0.1,a0,29897567,0.03299999237060547,9
retail,0.1,a1,66788794,2.244999885559082,9
retail,0.1,a2,2027855121,0.6770000457763672,9
retail,0.05,a0,34303353,0.03899979591369629,16
retail,0.05,a1,95884501,2.7380001544952393,16
retail,0.05,a2,3315085262,0.6979999542236328,16
retail,0.01,a0,69855172,0.08699989318847656,159
retail,0.01,a1,606929277,5.431999921798706,159
retail,0.01,a2,27896660358,3.7309999465942383,159
retail,0.005,a0,126435655,0.14599990844726562,580
retail,0.005,a1,1965661082,9.593999862670898,580
retail,0.005,a2,98149577770,12.692000150680542,580
retail,0.002,a0,393555231,0.3559999465942383,2691
retail,0.002,a1,7570012997,22.80299997329712,2691
retail,0.002,a2,431586780103,54.78200006484985,2691
retail,0.001,a0,940903344,0.8209998607635498,7572
retail,0.001,a1,18628217398,44.639999866485596,7572
retail,0.001,a2,1186192177855,150.9850001335144,7572
accidents,0.95,a0,600145407,0.7200000286102295,15
accidents,0.95,a1,785751842,2.385999917984009,15
accidents,0.95,a2,330151803,0.30500006675720215,15
accidents,0.9,a0,1159070847,1.2100000381469727,31
accidents,0.9,a1,1152461314,4.111999988555908,31
accidents,0.9,a2,628626987,0.32700014114379883,31
accidents,0.85,a0,2983381922,2.7850000858306885,71
accidents,0.85,a1,2215542544,8.842000007629395,71
accidents,0.85,a2,1378949914,0.5339999198913574,71
accidents,0.8,a0,5949171424,6.928999900817871,149
accidents,0.8,a1,4099822278,17.215999841690063,149
accidents,0.8,a2,2833836838,0.681999921798706,149
accidents,0.7,a0,23280568032,24.264000177383423,529
accidents,0.7,a1,12713283013,55.730000019073486,529
accidents,0.7,a2,9874919706,1.9489998817443848,529
accidents,0.6,a0,84616981090,88.95299983024597,2074
accidents,0.6,a1,45131730632,197.02500009536743,2074
accidents,0.6,a2,38309722604,6.688999891281128,2074
