dataset,minsup,t_spmf_s,n_spmf
chess,0.95,0.2148975,73
chess,0.9,0.3513322,498
chess,0.85,0.5359516,1885
chess,0.8,0.9567519,5083
chess,0.7,3.2824461,23892
chess,0.6,15.1837472,98392
chess,0.5,52.5223771,369450
mushrooms,0.7,0.2741951,12
mushrooms,0.5,0.3015262,45
mushrooms,0.3,0.402441,425
mushrooms,0.2,0.5398906,1169
mushrooms,0.1,1.0263106,4850
mushrooms,0.05,1.6600385,12789
mushrooms,0.01,3.1593581,51832
retail,0.1,0.4866085,9
retail,0.05,0.5077378,16
retail,0.01,0.6757563,159
retail,0.005,1.1853918,580
retail,0.002,4.7100158,2691
retail,0.001,13.6536895,7572
retail,0.0005,31.5272724,19114
accidents,0.95,1.2056285,15
accidents,0.9,1.3884735,31
accidents,0.85,2.2474462,71
accidents,0.8,3.340947,149
accidents,0.7,15.1731582,529
accidents,0.6,35.6157678,2074
accidents,0.5,123.037834,8057
